date,open
2017-03-03,41.12
2017-03-02,41.38
2017-03-01,41.19
2017-02-28,40.38
2017-02-27,39.75
2017-02-24,39.77
2017-02-23,39.72
2017-02-22,39.6
2017-02-21,38.85
2017-02-20,39.25
2017-02-17,38.8
2017-02-16,38.8
2017-02-15,38.5
2017-02-14,38.81
2017-02-13,37.37
2017-02-10,36.65
2017-02-09,36.2
2017-02-08,35.98
2017-02-07,35.56
2017-02-06,36.06
2017-02-03,36.02
2017-02-02,35.95
2017-02-01,34.75
2017-01-31,35.24
2017-01-30,35.38
2017-01-27,34.83
2017-01-26,35.07
2017-01-25,34.42
2017-01-24,34.0
2017-01-23,34.04
2017-01-20,34.54
2017-01-19,35.04
2017-01-18,35.04
2017-01-17,35.06
2017-01-16,34.85
2017-01-13,34.98
2017-01-12,35.38
2017-01-11,34.95
2017-01-10,34.8
2017-01-09,35.29
2017-01-06,34.91
2017-01-05,35.02
2017-01-04,35.48
2017-01-03,35.9
2017-01-02,34.99
2016-12-30,34.81
2016-12-29,35.22
2016-12-28,35.48
2016-12-27,35.29
2016-12-26,34.4
2016-12-23,34.4
2016-12-22,34.33
2016-12-21,34.47
2016-12-20,34.61
2016-12-19,34.8
2016-12-16,35.2
2016-12-15,35.17
2016-12-14,33.9
2016-12-13,33.05
2016-12-12,33.65
2016-12-09,32.75
2016-12-08,31.98
2016-12-07,31.99
2016-12-06,31.95
2016-12-05,31.8
2016-12-02,31.6
2016-12-01,32.16
2016-11-30,31.99
2016-11-29,31.82
2016-11-28,31.64
2016-11-25,31.52
2016-11-24,31.0
2016-11-23,31.45
2016-11-22,32.5
2016-11-21,32.5
2016-11-18,31.97
2016-11-17,31.86
2016-11-16,31.55
2016-11-15,31.21
2016-11-14,31.25
2016-11-11,31.5
2016-11-10,33.07
2016-11-09,31.6
2016-11-08,33.06
2016-11-07,31.9
2016-11-04,32.72
2016-11-03,32.6
2016-11-02,32.62
2016-11-01,32.98
2016-10-31,32.97
2016-10-28,32.83
2016-10-27,33.82
2016-10-26,34.3
2016-10-25,34.43
2016-10-24,34.73
2016-10-21,34.65
2016-10-20,34.58
2016-10-19,34.9
2016-10-18,34.12
2016-10-17,34.2
2016-10-14,34.06
2016-10-13,33.77
2016-10-12,34.44
2016-10-11,34.33
2016-10-10,34.1
2016-10-07,33.85
2016-10-06,34.12
2016-10-05,34.36
2016-10-04,34.03
2016-10-03,33.9
2016-09-30,33.9
2016-09-29,34.47
2016-09-28,33.58
2016-09-27,33.58
2016-09-26,33.96
2016-09-23,34.77
2016-09-22,34.57
2016-09-21,34.47
2016-09-20,34.22
2016-09-19,34.05
2016-09-16,33.98
2016-09-15,33.8
2016-09-14,32.6
2016-09-13,33.11
2016-09-12,32.6
2016-09-09,32.72
2016-09-08,33.29
2016-09-07,33.2
2016-09-06,33.28
2016-09-05,33.1
2016-09-02,32.72
2016-09-01,32.56
2016-08-31,32.82
2016-08-30,32.94
2016-08-29,33.0
2016-08-26,33.02
2016-08-25,32.8
2016-08-24,32.75
2016-08-23,33.18
2016-08-22,33.32
2016-08-19,33.45
2016-08-18,33.27
2016-08-17,33.5
2016-08-16,33.59
2016-08-15,33.4
2016-08-12,33.91
2016-08-11,33.87
2016-08-10,34.0
2016-08-09,33.35
2016-08-08,33.75
2016-08-05,33.3
2016-08-04,33.5
2016-08-03,33.5
2016-08-02,33.52
2016-08-01,33.47
2016-07-29,33.46
2016-07-28,33.18
2016-07-27,33.23
2016-07-26,32.67
2016-07-25,33.17
2016-07-22,32.63
2016-07-21,33.52
2016-07-20,33.33
2016-07-19,35.14
2016-07-18,34.54
2016-07-15,35.5
2016-07-14,37.51
2016-07-13,36.56
2016-07-12,36.92
2016-07-11,36.56
2016-07-08,36.12
2016-07-07,36.49
2016-07-06,35.87
2016-07-05,36.17
2016-07-04,36.79
2016-07-01,36.55
2016-06-30,34.56
2016-06-29,34.04
2016-06-28,33.44
2016-06-27,34.01
2016-06-24,30.42
2016-06-23,33.69
2016-06-22,34.26
2016-06-21,34.0
2016-06-20,33.83
2016-06-17,33.93
2016-06-16,33.67
2016-06-15,33.49
2016-06-14,32.4
2016-06-13,33.84
2016-06-10,34.39
2016-06-09,34.32
2016-06-08,34.25
2016-06-07,34.41
2016-06-06,34.0
2016-06-03,34.14
2016-06-02,35.1
2016-06-01,34.85
2016-05-31,34.9
2016-05-30,34.37
2016-05-27,34.34
2016-05-26,33.72
2016-05-25,33.76
2016-05-24,33.7
2016-05-23,34.46
2016-05-20,33.8
2016-05-19,32.75
2016-05-18,32.8
2016-05-17,32.42
2016-05-16,32.05
2016-05-13,32.05
2016-05-12,31.17
2016-05-11,30.4
2016-05-10,30.8
2016-05-09,29.71
2016-05-06,29.6
2016-05-05,29.83
2016-05-04,29.29
2016-05-03,28.66
2016-05-02,28.67
2016-04-29,28.43
2016-04-28,28.5
2016-04-27,28.82
2016-04-26,28.91
2016-04-25,28.81
2016-04-22,28.72
2016-04-21,29.17
2016-04-20,29.01
2016-04-19,29.23
2016-04-18,28.74
2016-04-15,29.0
2016-04-14,28.61
2016-04-13,29.36
2016-04-12,29.08
2016-04-11,29.28
2016-04-08,29.0
2016-04-07,28.65
2016-04-06,28.82
2016-04-05,27.1
2016-04-04,26.93
2016-04-01,26.91
2016-03-31,27.1
2016-03-30,26.96
2016-03-29,26.95
2016-03-28,27.3
2016-03-24,27.3
2016-03-23,27.22
2016-03-22,26.98
2016-03-21,27.0
2016-03-18,27.2
2016-03-17,27.48
2016-03-16,27.14
2016-03-15,27.6
2016-03-14,27.83
2016-03-11,28.1
2016-03-10,27.91
2016-03-09,28.1
2016-03-08,28.5
2016-03-07,28.75
2016-03-04,29.13
2016-03-03,29.6
2016-03-02,29.6
2016-03-01,29.16
2016-02-29,28.5
2016-02-26,29.45
2016-02-25,29.25
2016-02-24,29.0
2016-02-23,29.07
2016-02-22,29.32
2016-02-19,29.18
2016-02-18,29.1
2016-02-17,27.95
2016-02-16,27.85
2016-02-15,27.08
2016-02-12,25.95
2016-02-11,26.26
2016-02-10,26.82
2016-02-09,26.11
2016-02-08,28.9
2016-02-05,27.92
2016-02-04,29.0
2016-02-03,28.15
2016-02-02,27.58
2016-02-01,27.43
2016-01-29,26.8
2016-01-28,27.26
2016-01-27,27.37
2016-01-26,27.24
2016-01-25,27.25
2016-01-22,26.7
2016-01-21,26.5
2016-01-20,26.37
2016-01-19,27.08
2016-01-18,27.04
2016-01-15,27.0
2016-01-14,27.84
2016-01-13,27.36
2016-01-12,26.25
2016-01-11,26.59
2016-01-08,27.08
2016-01-07,27.99
2016-01-06,28.0
2016-01-05,26.63
