date,return
2013-04-14,-0.04736408566721595
2013-04-21,-0.08819714656290534
2013-04-28,0.07728781412991936
2013-05-05,0.010563380281690238
2013-05-12,0.04529616724738683
2013-05-19,0.0475000000000001
2013-05-26,-0.029037390612569602
2013-06-02,0.002048340843916474
2013-06-09,0.0008176614881438837
2013-06-16,0.02941176470588225
2013-06-23,0.003968253968253954
2013-06-30,0.0007905138339920903
2013-07-07,-0.004739336492891044
2013-07-14,0.049206349206349254
2013-07-21,0.0034039334341906535
2013-07-28,-0.014323407463249227
2013-08-04,-0.024091778202676828
2013-08-11,-0.012147335423197458
2013-08-18,-0.06783022610075373
2013-08-25,0.012340425531914834
2013-09-01,-0.033207229928541415
2013-09-08,0.021739130434782705
2013-09-15,-0.01191489361702136
2013-09-22,-0.017226528854435763
